,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
0,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 50 기 반기말,156976839000000,제 49 기말,146982464000000,1,KRW,,,,
1,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 50 기 반기말,31362222000000,제 49 기말,30545130000000,2,KRW,,,,
2,20180814001113,11012,2018,00126380,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 50 기 반기말,48717141000000,제 49 기말,49447696000000,3,KRW,,,,
3,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 50 기 반기말,,제 49 기말,3191375000000,4,KRW,,,,
4,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,단기상각후원가금융자산,-,제 50 기 반기말,3896630000000,제 49 기말,,5,KRW,,,,
5,20180814001113,11012,2018,00126380,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 50 기 반기말,35013060000000,제 49 기말,27695995000000,6,KRW,,,,
6,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 50 기 반기말,3133430000000,제 49 기말,4108961000000,7,KRW,,,,
7,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 50 기 반기말,1505459000000,제 49 기말,1753673000000,8,KRW,,,,
8,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 50 기 반기말,4195934000000,제 49 기말,3835219000000,9,KRW,,,,
9,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_Inventories,재고자산,-,제 50 기 반기말,27358767000000,제 49 기말,24983355000000,10,KRW,,,,
10,20180814001113,11012,2018,00126380,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 50 기 반기말,1794196000000,제 49 기말,1421060000000,11,KRW,,,,
11,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 50 기 반기말,161711541000000,제 49 기말,154769626000000,12,KRW,,,,
12,20180814001113,11012,2018,00126380,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기매도가능금융자산,-,제 50 기 반기말,,제 49 기말,7752180000000,13,KRW,,,,
13,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,만기보유금융자산,-,제 50 기 반기말,,제 49 기말,106751000000,14,KRW,,,,
14,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,상각후원가금융자산,-,제 50 기 반기말,242269000000,제 49 기말,,15,KRW,,,,
15,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 50 기 반기말,7436535000000,제 49 기말,,16,KRW,,,,
16,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 50 기 반기말,650775000000,제 49 기말,,17,KRW,,,,
17,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,관계기업 및 공동기업 투자,-,제 50 기 반기말,6894955000000,제 49 기말,6802351000000,18,KRW,,,,
18,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 50 기 반기말,116576140000000,제 49 기말,111665648000000,19,KRW,,,,
19,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_InvestmentProperty,무형자산,-,제 50 기 반기말,14999464000000,제 49 기말,14760483000000,20,KRW,,,,
20,20180814001113,11012,2018,00126380,BS,재무상태표,dart_LongTermPrepaidExpenses,장기선급비용,-,제 50 기 반기말,3621923000000,제 49 기말,3434375000000,21,KRW,,,,
21,20180814001113,11012,2018,00126380,BS,재무상태표,dart_DepositsForSeveranceInsurance,순확정급여자산,-,제 50 기 반기말,458843000000,제 49 기말,825892000000,22,KRW,,,,
22,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 50 기 반기말,5006713000000,제 49 기말,5061687000000,23,KRW,,,,
23,20180814001113,11012,2018,00126380,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 50 기 반기말,5823924000000,제 49 기말,4360259000000,24,KRW,,,,
24,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_Assets,자산총계,-,제 50 기 반기말,318688380000000,제 49 기말,301752090000000,25,KRW,,,,
25,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 50 기 반기말,65602323000000,제 49 기말,67175114000000,27,KRW,,,,
26,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 50 기 반기말,8410278000000,제 49 기말,9083907000000,28,KRW,,,,
27,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 50 기 반기말,13176014000000,제 49 기말,15767619000000,29,KRW,,,,
28,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 50 기 반기말,9591396000000,제 49 기말,13899633000000,30,KRW,,,,
29,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 50 기 반기말,889635000000,제 49 기말,1249174000000,31,KRW,,,,
30,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 50 기 반기말,858379000000,제 49 기말,793582000000,32,KRW,,,,
31,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 50 기 반기말,16887561000000,제 49 기말,13996273000000,33,KRW,,,,
32,20180814001113,11012,2018,00126380,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 50 기 반기말,7063097000000,제 49 기말,7408348000000,34,KRW,,,,
33,20180814001113,11012,2018,00126380,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 50 기 반기말,1859552000000,제 49 기말,278619000000,35,KRW,,,,
34,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_CurrentProvisions,충당부채,-,제 50 기 반기말,5959646000000,제 49 기말,4294820000000,36,KRW,,,,
35,20180814001113,11012,2018,00126380,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 50 기 반기말,906765000000,제 49 기말,403139000000,37,KRW,,,,
36,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 50 기 반기말,19961212000000,제 49 기말,20085548000000,38,KRW,,,,
37,20180814001113,11012,2018,00126380,BS,재무상태표,dart_BondsIssued,사채,-,제 50 기 반기말,978754000000,제 49 기말,953361000000,39,KRW,,,,
38,20180814001113,11012,2018,00126380,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 50 기 반기말,92635000000,제 49 기말,1814446000000,40,KRW,,,,
39,20180814001113,11012,2018,00126380,BS,재무상태표,dart_LongTermOtherPayablesGross,장기미지급금,-,제 50 기 반기말,1957733000000,제 49 기말,2043729000000,41,KRW,,,,
40,20180814001113,11012,2018,00126380,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 50 기 반기말,478650000000,제 49 기말,389922000000,42,KRW,,,,
41,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 50 기 반기말,13186358000000,제 49 기말,11710781000000,43,KRW,,,,
42,20180814001113,11012,2018,00126380,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기충당부채,-,제 50 기 반기말,581119000000,제 49 기말,464324000000,44,KRW,,,,
43,20180814001113,11012,2018,00126380,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 50 기 반기말,2685963000000,제 49 기말,2708985000000,45,KRW,,,,
44,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 50 기 반기말,85563535000000,제 49 기말,87260662000000,46,KRW,,,,
45,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업 소유주지분,-,제 50 기 반기말,225671417000000,제 49 기말,207213416000000,48,KRW,,,,
46,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 50 기 반기말,897514000000,제 49 기말,897514000000,49,KRW,,,,
47,20180814001113,11012,2018,00126380,BS,재무상태표,dart_IssuedCapitalOfPreferredStock,우선주자본금,-,제 50 기 반기말,119467000000,제 49 기말,119467000000,50,KRW,,,,
48,20180814001113,11012,2018,00126380,BS,재무상태표,dart_IssuedCapitalOfCommonStock,보통주자본금,-,제 50 기 반기말,778047000000,제 49 기말,778047000000,51,KRW,,,,
49,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 50 기 반기말,4403893000000,제 49 기말,4403893000000,52,KRW,,,,
50,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금,-,제 50 기 반기말,231065173000000,제 49 기말,215811200000000,53,KRW,,,,
51,20180814001113,11012,2018,00126380,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본항목,-,제 50 기 반기말,-10695163000000,제 49 기말,-13899191000000,54,KRW,,,,
52,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 50 기 반기말,7453428000000,제 49 기말,7278012000000,55,KRW,,,,
53,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_Equity,자본총계,-,제 50 기 반기말,233124845000000,제 49 기말,214491428000000,56,KRW,,,,
54,20180814001113,11012,2018,00126380,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 50 기 반기말,318688380000000,제 49 기말,301752090000000,57,KRW,,,,
55,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_Revenue,수익(매출액),-,제 50 기 반기,58482658000000,,,0,KRW,119046372000000,제 49 기 반기,61000537000000,111548063000000
56,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_CostOfSales,매출원가,-,제 50 기 반기,31274597000000,,,1,KRW,63184069000000,제 49 기 반기,32399829000000,60555426000000
57,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_GrossProfit,매출총이익,-,제 50 기 반기,27208061000000,,,2,KRW,55862303000000,제 49 기 반기,28600708000000,50992637000000
58,20180814001113,11012,2018,00126380,IS,손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 50 기 반기,12339026000000,,,3,KRW,25351098000000,제 49 기 반기,14534161000000,27027729000000
59,20180814001113,11012,2018,00126380,IS,손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 50 기 반기,14869035000000,,,4,KRW,30511205000000,제 49 기 반기,14066547000000,23964908000000
60,20180814001113,11012,2018,00126380,IS,손익계산서,dart_OtherGains,기타수익,-,제 50 기 반기,367588000000,,,5,KRW,738564000000,제 49 기 반기,344215000000,660638000000
61,20180814001113,11012,2018,00126380,IS,손익계산서,dart_OtherLosses,기타비용,-,제 50 기 반기,222409000000,,,6,KRW,467672000000,제 49 기 반기,223405000000,500639000000
62,20180814001113,11012,2018,00126380,IS,손익계산서,-표준계정코드 미사용-,지분법이익,-,제 50 기 반기,106307000000,,,7,KRW,170671000000,제 49 기 반기,22353000000,41691000000
63,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_FinanceIncome,금융수익,-,제 50 기 반기,3119060000000,,,8,KRW,5402260000000,제 49 기 반기,1727174000000,3824326000000
64,20180814001113,11012,2018,00126380,IS,손익계산서,-표준계정코드 미사용-,금융비용,-,제 50 기 반기,2832745000000,,,9,KRW,4772285000000,제 49 기 반기,1524619000000,3414083000000
65,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 50 기 반기,15406836000000,,,10,KRW,31582743000000,제 49 기 반기,14412265000000,24576841000000
66,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 50 기 반기,4363424000000,,,11,KRW,8850787000000,제 49 기 반기,3358414000000,5838636000000
67,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_ProfitLossFromContinuingOperations,계속영업이익(손실),-,제 50 기 반기,11043412000000,,,12,KRW,22731956000000,제 49 기 반기,11053851000000,18738205000000
68,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 50 기 반기,11043412000000,,,13,KRW,22731956000000,제 49 기 반기,11053851000000,18738205000000
69,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),-,제 50 기 반기,10981547000000,,,15,KRW,22593380000000,제 49 기 반기,10799942000000,18288474000000
70,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),-,제 50 기 반기,61865000000,,,16,KRW,138576000000,제 49 기 반기,253909000000,449731000000
71,20180814001113,11012,2018,00126380,IS,손익계산서,ifrs_BasicEarningsLossPerShare,기본주당이익(손실),-,제 50 기 반기,1617,,,18,KRW,3325,제 49 기 반기,1560,2632
